 I  J	QI  QM	QL  CP	DS7	DS9
           1           1 -0.99910446221147564       -8.3955655129874796E-003  -1.7015543087769144E-002  0.18972460525828580       -4.2311624751576460E-002 -0.99910446221147553     
           2           1 -0.99871888048730728       -1.0881429848504308E-002  -1.8348611764150681E-002  0.24658251911243539       -5.0602349334587959E-002 -0.99871888048730717     
           3           1 -0.99777478553362298       -1.2883190472525294E-002  -2.0260826065849794E-002  0.35178852581123565       -6.6674413033283267E-002 -0.99777478553362275     
           4           1 -0.99448063631533556       -1.3054017678434409E-002  -1.8280972887834111E-002  0.48186216301488249      -0.10492027446516437      -0.99448063631533545     
           5           1 -0.96974615095090599       -1.0004971696181884E-002   9.0405179949036560E-002  0.78061377923521691      -0.24411555197467996      -0.96974615095090599     
           6           1  0.99740374865075931        3.2322444406489943E-003  0.15733371231160093      -0.31407008883217274       -7.2012236303374680E-002  0.99740374865075920     
           7           1  0.99759145532504634        1.0086380032745151E-002   6.0495866511748389E-002 -0.41559697606449153        6.9363450479744640E-002  0.99759145532504634     
           8           1  0.99419423487384684        1.4806040714617441E-002   2.6282715151390967E-002 -0.57025254360096989       0.10760029434721023       0.99419423487384684     
           9           1  0.99233310233118965        1.5239413305597357E-002  -5.1142604240853821E-004 -0.57382750800820859       0.12359212765284333       0.99233310233118954     
          10           1  0.99127315698719198        1.2531569292207442E-002  -1.9046193856583668E-002 -0.46941399049047594       0.13182385306402547       0.99127315698719209     
           1           2 -0.99910446221147564       -1.3185218599192713E-002  -3.1394843533384807E-002  0.32810359707750753       -4.2311624751576460E-002 -0.99910446221147553     
           2           2 -0.99871888048730728       -1.7479925635540985E-002  -2.8265948309906908E-002  0.44375241901287193       -5.0602349334587966E-002 -0.99871888048730728     
           3           2 -0.99777478553362298       -2.1094132193888272E-002  -2.4146094134264579E-002  0.60124757162900333       -6.6674413033283267E-002 -0.99777478553362287     
           4           2 -0.99448063631533556       -2.0776856632947691E-002  -1.1926437261324408E-002  0.75551212552023073      -0.10492027446516439      -0.99448063631533545     
           5           2 -0.96974615095090599       -1.5227948904453328E-002  0.15070346018612457        1.0829910361769568      -0.24411555197467999      -0.96974615095090611     
           6           2  0.99740374865075931        5.6405157155792075E-003  0.23171996177968496      -0.55606283745107032       -7.2012236303374694E-002  0.99740374865075931     
           7           2  0.99759145532504634        1.6073437103298498E-002   8.6048510862965250E-002 -0.67220799272573728        6.9363450479744640E-002  0.99759145532504645     
           8           2  0.99419423487384684        2.3911119234869108E-002   3.5497953934688270E-002 -0.88561867883524015       0.10760029434721023       0.99419423487384673     
           9           2  0.99233310233118965        2.4305261581505991E-002  -5.5378484291108247E-003 -0.86902891571018270       0.12359212765284332       0.99233310233118954     
          10           2  0.99127315698719198        1.9843538892144380E-002  -3.4709519514417690E-002 -0.69007082683844345       0.13182385306402544       0.99127315698719198     
           1           3 -0.99910446221147564       -6.9488378818880056E-003  -4.1857961847002120E-002  0.40234827328214912       -4.2311624751576460E-002 -0.99910446221147553     
           2           3 -0.99871888048730728       -9.5832278190435549E-003  -3.5826756336637545E-002  0.56034920820657952       -5.0602349334587966E-002 -0.99871888048730728     
           3           3 -0.99777478553362298       -1.1859169816327848E-002  -2.6156772159041015E-002  0.76165717802280741       -6.6674413033283267E-002 -0.99777478553362287     
           4           3 -0.99448063631533556       -1.0991099991322500E-002  -5.3296048366159752E-003  0.92351445753583628      -0.10492027446516437      -0.99448063631533545     
           5           3 -0.96974615095090599       -7.3877718137212584E-003  0.18821289723564902        1.2476645942303080      -0.24411555197467996      -0.96974615095090599     
           6           3  0.99740374865075931        3.6748530915878875E-003  0.27322400877766995      -0.70795975448267845       -7.2012236303374680E-002  0.99740374865075920     
           7           3  0.99759145532504634        8.7212972865493878E-003  0.10083373169955744      -0.82402915495293150        6.9363450479744654E-002  0.99759145532504645     
           8           3  0.99419423487384684        1.2992016781347260E-002   4.1003797700676796E-002  -1.0786862630701088       0.10760029434721023       0.99419423487384684     
           9           3  0.99233310233118965        1.2888963696843440E-002  -9.5004934331599632E-003  -1.0421163248626280       0.12359212765284334       0.99233310233118965     
          10           3  0.99127315698719198        1.0474944046684297E-002  -4.4854702446016560E-002 -0.81672007581516115       0.13182385306402544       0.99127315698719198     
           1           4 -0.99910446221147564       -2.9204375666994770E-003  -4.6633279459290050E-002  0.43560707053516168       -4.2311624751576460E-002 -0.99910446221147542     
           2           4 -0.99871888048730728       -4.0279122793461866E-003  -3.9117437635394006E-002  0.61329991448179533       -5.0602349334587959E-002 -0.99871888048730717     
           3           4 -0.99777478553362298       -4.8988691399066342E-003  -2.6663810895819453E-002  0.83369977789658656       -6.6674413033283281E-002 -0.99777478553362287     
           4           4 -0.99448063631533556       -4.3789535590174960E-003  -2.0544782075496309E-003  0.99551959115195132      -0.10492027446516437      -0.99448063631533545     
           5           4 -0.96974615095090599       -2.8982797469089198E-003  0.20500270592287970        1.3169683554356069      -0.24411555197467993      -0.96974615095090599     
           6           4  0.99740374865075931        1.7400143944264973E-003  0.29136220232968563      -0.77970369237961157       -7.2012236303374680E-002  0.99740374865075909     
           7           4  0.99759145532504634        3.6974958935422522E-003  0.10661895849232031      -0.89139431621505927        6.9363450479744640E-002  0.99759145532504634     
           8           4  0.99419423487384684        5.1988732930643641E-003   4.2951047890499167E-002  -1.1603186349896619       0.10760029434721023       0.99419423487384684     
           9           4  0.99233310233118965        5.1091933574422405E-003  -1.1100402707793351E-002  -1.1152962854498201       0.12359212765284332       0.99233310233118954     
          10           4  0.99127315698719198        4.2422949442530652E-003  -4.8673239631928246E-002 -0.87267455046576414       0.13182385306402544       0.99127315698719198     
           1           5 -0.99910446221147564       -7.6125277101471423E-004  -4.8264068327369659E-002  0.44742666099686790       -4.2311624751576460E-002 -0.99910446221147542     
           2           5 -0.99871888048730728       -1.0431802473388763E-003  -4.0198951411126588E-002  0.63193261705882564       -5.0602349334587952E-002 -0.99871888048730717     
           3           5 -0.99777478553362298       -1.2506410449416654E-003  -2.6784544005966200E-002  0.85848765171896213       -6.6674413033283281E-002 -0.99777478553362298     
           4           5 -0.99448063631533556       -1.1106925222082800E-003  -9.1270064701430716E-004   1.0200257224006077      -0.10492027446516436      -0.99448063631533545     
           5           5 -0.96974615095090599       -7.3348514145925292E-004  0.21086777296592446        1.3405820644300448      -0.24411555197467993      -0.96974615095090599     
           6           5  0.99740374865075931        4.7343257776895608E-004  0.29764421797244051      -0.80540109987165431       -7.2012236303374694E-002  0.99740374865075931     
           7           5  0.99759145532504634        9.6325567754623059E-004  0.10847020543780046      -0.91473844557834749        6.9363450479744640E-002  0.99759145532504634     
           8           5  0.99419423487384684        1.3119350319686779E-003   4.3528355282742057E-002  -1.1877298650800128       0.10760029434721023       0.99419423487384684     
           9           5  0.99233310233118965        1.2860779365070144E-003  -1.1614464521002937E-002  -1.1399848300577138       0.12359212765284334       0.99233310233118965     
          10           5  0.99127315698719198        1.0793204975036996E-003  -4.9869212916670617E-002 -0.89199090999560415       0.13182385306402544       0.99127315698719209     
           1           6 -0.99910446221147564        7.6125277101696601E-004  -4.8264068327378652E-002  0.44742666099680961       -4.2311624751576460E-002 -0.99910446221147542     
           2           6 -0.99871888048730728        1.0431802473397089E-003  -4.0198951411130779E-002  0.63193261705880799       -5.0602349334587952E-002 -0.99871888048730717     
           3           6 -0.99777478553362298        1.2506410449421371E-003  -2.6784544005966984E-002  0.85848765171895836       -6.6674413033283281E-002 -0.99777478553362298     
           4           6 -0.99448063631533556        1.1106925222081412E-003  -9.1270064701484330E-004   1.0200257224006068      -0.10492027446516436      -0.99448063631533545     
           5           6 -0.96974615095090599        7.3348514145894078E-004  0.21086777296592493        1.3405820644300483      -0.24411555197467993      -0.96974615095090599     
           6           6  0.99740374865075931       -4.7343257776866725E-004  0.29764421797244112      -0.80540109987165875       -7.2012236303374694E-002  0.99740374865075931     
           7           6  0.99759145532504634       -9.6325567754608477E-004  0.10847020543779998      -0.91473844557834705        6.9363450479744640E-002  0.99759145532504634     
           8           6  0.99419423487384684       -1.3119350319690593E-003   4.3528355282741266E-002  -1.1877298650800090       0.10760029434721023       0.99419423487384684     
           9           6  0.99233310233118965       -1.2860779365078329E-003  -1.1614464521007168E-002  -1.1399848300576969       0.12359212765284334       0.99233310233118965     
          10           6  0.99127315698719198       -1.0793204975059895E-003  -4.9869212916679770E-002 -0.89199090999554653       0.13182385306402544       0.99127315698719209     
           1           7 -0.99910446221147564        2.9204375666972977E-003  -4.6633279459289266E-002  0.43560707053515779       -4.2311624751576460E-002 -0.99910446221147542     
           2           7 -0.99871888048730728        4.0279122793457217E-003  -3.9117437635393756E-002  0.61329991448178789       -5.0602349334587959E-002 -0.99871888048730717     
           3           7 -0.99777478553362298        4.8988691399068501E-003  -2.6663810895820407E-002  0.83369977789657723       -6.6674413033283281E-002 -0.99777478553362287     
           4           7 -0.99448063631533556        4.3789535590175455E-003  -2.0544782075508257E-003  0.99551959115195188      -0.10492027446516437      -0.99448063631533545     
           5           7 -0.96974615095090599        2.8982797469089966E-003  0.20500270592288081        1.3169683554356117      -0.24411555197467993      -0.96974615095090599     
           6           7  0.99740374865075931       -1.7400143944265017E-003  0.29136220232968663      -0.77970369237961690       -7.2012236303374680E-002  0.99740374865075909     
           7           7  0.99759145532504634       -3.6974958935422873E-003  0.10661895849231931      -0.89139431621505938        6.9363450479744640E-002  0.99759145532504634     
           8           7  0.99419423487384684       -5.1988732930645515E-003   4.2951047890498237E-002  -1.1603186349896539       0.10760029434721023       0.99419423487384684     
           9           7  0.99233310233118965       -5.1091933574417608E-003  -1.1100402707793335E-002  -1.1152962854498121       0.12359212765284332       0.99233310233118954     
