 I  J	QI  QM	QL  CP	DS7	DS9
           1           1  -3.9964178488459026       -2.1967470943647188E-002  -2.7538406497539247E-002   5.4909082093049316E-002  -4.2311624751576460E-002 -0.99910446221147553     
           2           1  -3.9948755219492291       -2.6265281529138901E-002  -5.5907902111379380E-002   6.5161145586889221E-002  -5.0602349334587959E-002 -0.99871888048730717     
           3           1  -3.9910991421344919       -2.5978099002911561E-002  -8.5943595084780555E-002  0.15451119684057812       -6.6674413033283267E-002 -0.99777478553362275     
           4           1  -3.9779225452613423       -2.4788828058155521E-002  -9.0808044408312236E-002  0.29635052653732946      -0.10492027446516437      -0.99448063631533545     
           5           1  -3.8789846038036240       -2.5209858450544825E-002  0.17190385044177284       0.54015566539135884      -0.24411555197467996      -0.96974615095090599     
           6           1   3.9896149946030373        9.6865236801475345E-003  0.39348701298837041      -0.10183217034143094       -7.2012236303374680E-002  0.99740374865075920     
           7           1   3.9903658213001854        2.2907912865696513E-002  0.18582025446497702      -0.22236187601820015        6.9363450479744640E-002  0.99759145532504634     
           8           1   3.9767769394953874        2.8415143815160814E-002   8.5612955731781681E-002 -0.35341750719490045       0.10760029434721023       0.99419423487384684     
           9           1   3.9693324093247586        3.0711192726171122E-002  -1.0081886545729088E-003 -0.35594757918892878       0.12359212765284333       0.99233310233118954     
          10           1   3.9650926279487679        2.9873255600181014E-002  -6.0176593678386105E-002 -0.27272662533108794       0.13182385306402547       0.99127315698719209     
           1           2  -3.9964178488459026       -3.9127327477237711E-002  -5.2398777509815038E-002  0.15213765512923932       -4.2311624751576460E-002 -0.99910446221147553     
           2           2  -3.9948755219492291       -4.7645225991108646E-002  -6.4771108948448577E-002  0.19189601437879505       -5.0602349334587966E-002 -0.99871888048730728     
           3           2  -3.9910991421344919       -5.0878549983882776E-002  -8.3303233463360410E-002  0.28562725420603202       -6.6674413033283267E-002 -0.99777478553362287     
           4           2  -3.9779225452613423       -5.1112913429294457E-002  -8.9111921792523460E-002  0.42103224252727739      -0.10492027446516439      -0.99448063631533545     
           5           2  -3.8789846038036240       -4.6648787479405832E-002  0.29954544218261442       0.72423760938092985      -0.24411555197467999      -0.96974615095090611     
           6           2   3.9896149946030373        1.5519424456922797E-002  0.57163831854860103      -0.24986451384088390       -7.2012236303374694E-002  0.99740374865075931     
           7           2   3.9903658213001854        4.2799820865155734E-002  0.22716932940725970      -0.35867516911119995        6.9363450479744640E-002  0.99759145532504645     
           8           2   3.9767769394953874        5.7683225114830927E-002   9.9567666171166580E-002 -0.50274907735599306       0.10760029434721023       0.99419423487384673     
           9           2   3.9693324093247586        6.1617253676818098E-002   2.2141361661866163E-003 -0.51128093977199907       0.12359212765284332       0.99233310233118954     
          10           2   3.9650926279487679        5.5784179656911341E-002  -6.5023579701314962E-002 -0.41986720393797500       0.13182385306402544       0.99127315698719198     
           1           3  -3.9964178488459026       -2.8314488167123252E-002  -7.6809567496254255E-002  0.22559092068021969       -4.2311624751576460E-002 -0.99910446221147553     
           2           3  -3.9948755219492291       -3.6064913751425370E-002  -8.1877280005753783E-002  0.29015740850532551       -5.0602349334587966E-002 -0.99871888048730728     
           3           3  -3.9910991421344919       -4.2665610149637906E-002  -9.2144907220115438E-002  0.40566957312630270       -6.6674413033283267E-002 -0.99777478553362287     
           4           3  -3.9779225452613423       -4.4619570540424050E-002  -8.1469568560926992E-002  0.55657308477582901      -0.10492027446516437      -0.99448063631533545     
           5           3  -3.8789846038036240       -3.4563194308480524E-002  0.41860351383522865       0.88387781195696924      -0.24411555197467996      -0.96974615095090599     
           6           3   3.9896149946030373        1.0162090537338481E-002  0.72466166886339545      -0.36773121075701137       -7.2012236303374680E-002  0.99740374865075920     
           7           3   3.9903658213001854        3.3161442543903706E-002  0.27890955526167310      -0.48553329348787250        6.9363450479744654E-002  0.99759145532504645     
           8           3   3.9767769394953874        4.9973644742254485E-002  0.11926442419050200      -0.65909820382860107       0.10760029434721023       0.99419423487384684     
